[xeon@xeon-ms7817 ~]$ pstree 32631
cw4_1───cw4_1───cw4_1───cw4_1───cw4_1───cw4_1───cw4_1───cw4_1───cw4_1───cw4_1──+++

[xeon@xeon-ms7817 zajecia5]$ ./cw4_1
Proces rodzica: PID=32812, PPID=32067
Proces potomny: PID=32813, PPID=32812  99
Proces potomny: PID=32814, PPID=32813  98
Proces potomny: PID=32815, PPID=32814  97
Proces potomny: PID=32816, PPID=32815  96
Proces potomny: PID=32817, PPID=32816  95
Proces potomny: PID=32818, PPID=32817  94
Proces potomny: PID=32819, PPID=32818  93
Proces potomny: PID=32820, PPID=32819  92
Proces potomny: PID=32821, PPID=32820  91
Proces potomny: PID=32822, PPID=32821  90
Proces potomny: PID=32823, PPID=32822  89
Proces potomny: PID=32824, PPID=32823  88
Proces potomny: PID=32825, PPID=32824  87
Proces potomny: PID=32826, PPID=32825  86
Proces potomny: PID=32827, PPID=32826  85
Proces potomny: PID=32828, PPID=32827  84
Proces potomny: PID=32829, PPID=32828  83
Proces potomny: PID=32830, PPID=32829  82
Proces potomny: PID=32831, PPID=32830  81
Proces potomny: PID=32832, PPID=32831  80
Proces potomny: PID=32833, PPID=32832  79
Proces potomny: PID=32834, PPID=32833  78
Proces potomny: PID=32835, PPID=32834  77
Proces potomny: PID=32836, PPID=32835  76
Proces potomny: PID=32837, PPID=32836  75
Proces potomny: PID=32838, PPID=32837  74
Proces potomny: PID=32839, PPID=32838  73
Proces potomny: PID=32840, PPID=32839  72
Proces potomny: PID=32841, PPID=32840  71
Proces potomny: PID=32842, PPID=32841  70
Proces potomny: PID=32843, PPID=32842  69
Proces potomny: PID=32844, PPID=32843  68
Proces potomny: PID=32845, PPID=32844  67
Proces potomny: PID=32846, PPID=32845  66
Proces potomny: PID=32847, PPID=32846  65
Proces potomny: PID=32848, PPID=32847  64
Proces potomny: PID=32849, PPID=32848  63
Proces potomny: PID=32850, PPID=32849  62
Proces potomny: PID=32851, PPID=32850  61
Proces potomny: PID=32852, PPID=32851  60
Proces potomny: PID=32853, PPID=32852  59
Proces potomny: PID=32854, PPID=32853  58
Proces potomny: PID=32855, PPID=32854  57
Proces potomny: PID=32856, PPID=32855  56
Proces potomny: PID=32857, PPID=32856  55
Proces potomny: PID=32858, PPID=32857  54
Proces potomny: PID=32859, PPID=32858  53
Proces potomny: PID=32860, PPID=32859  52
Proces potomny: PID=32861, PPID=32860  51
Proces potomny: PID=32862, PPID=32861  50
Proces potomny: PID=32863, PPID=32862  49
Proces potomny: PID=32864, PPID=32863  48
Proces potomny: PID=32865, PPID=32864  47
Proces potomny: PID=32866, PPID=32865  46
Proces potomny: PID=32867, PPID=32866  45
Proces potomny: PID=32868, PPID=32867  44
Proces potomny: PID=32869, PPID=32868  43
Proces potomny: PID=32870, PPID=32869  42
Proces potomny: PID=32871, PPID=32870  41
Proces potomny: PID=32872, PPID=32871  40
Proces potomny: PID=32873, PPID=32872  39
Proces potomny: PID=32874, PPID=32873  38
Proces potomny: PID=32875, PPID=32874  37
Proces potomny: PID=32876, PPID=32875  36
Proces potomny: PID=32877, PPID=32876  35
Proces potomny: PID=32878, PPID=32877  34
Proces potomny: PID=32879, PPID=32878  33
Proces potomny: PID=32880, PPID=32879  32
Proces potomny: PID=32881, PPID=32880  31
Proces potomny: PID=32882, PPID=32881  30
Proces potomny: PID=32883, PPID=32882  29
Proces potomny: PID=32884, PPID=32883  28
Proces potomny: PID=32885, PPID=32884  27
Proces potomny: PID=32886, PPID=32885  26
Proces potomny: PID=32887, PPID=32886  25
Proces potomny: PID=32888, PPID=32887  24
Proces potomny: PID=32889, PPID=32888  23
Proces potomny: PID=32890, PPID=32889  22
Proces potomny: PID=32891, PPID=32890  21
Proces potomny: PID=32892, PPID=32891  20
Proces potomny: PID=32893, PPID=32892  19
Proces potomny: PID=32894, PPID=32893  18
Proces potomny: PID=32895, PPID=32894  17
Proces potomny: PID=32896, PPID=32895  16
Proces potomny: PID=32897, PPID=32896  15
Proces potomny: PID=32898, PPID=32897  14
Proces potomny: PID=32899, PPID=32898  13
Proces potomny: PID=32900, PPID=32899  12
Proces potomny: PID=32901, PPID=32900  11
Proces potomny: PID=32902, PPID=32901  10
Proces potomny: PID=32903, PPID=32902  9
Proces potomny: PID=32904, PPID=32903  8
Proces potomny: PID=32905, PPID=32904  7
Proces potomny: PID=32906, PPID=32905  6
Proces potomny: PID=32907, PPID=32906  5
Proces potomny: PID=32908, PPID=32907  4
Proces potomny: PID=32909, PPID=32908  3
Proces potomny: PID=32910, PPID=32909  2
Proces potomny: PID=32911, PPID=32910  1
