proces oczekuje na znak przed rozpoczeciem zamykania procesów potomnych aby można było wygodnie użyć pstree
[xeon@xeon-ms7817 zajecia5]$ gcc -Wall --ansi --pedantic -o cw5_1  cw5_1.c
[xeon@xeon-ms7817 zajecia5]$ ./cw5_1  
Parent process: PID=34974
Child process 1: PID=34975, PPID=34974
Child process 2: PID=34976, PPID=34974
Child process 3: PID=34977, PPID=34974
Child process 4: PID=34978, PPID=34974
Child process 5: PID=34979, PPID=34974
Child process 6: PID=34980, PPID=34974
Child process 7: PID=34981, PPID=34974
Child process 8: PID=34982, PPID=34974
Child process 9: PID=34983, PPID=34974
Child process 10: PID=34984, PPID=34974
Child process 11: PID=34985, PPID=34974
Child process 12: PID=34986, PPID=34974
Child process 13: PID=34987, PPID=34974
Child process 14: PID=34988, PPID=34974
Child process 15: PID=34989, PPID=34974
Child process 16: PID=34990, PPID=34974
Child process 17: PID=34991, PPID=34974
Child process 18: PID=34992, PPID=34974
Child process 19: PID=34993, PPID=34974
Child process 20: PID=34994, PPID=34974
Child process 21: PID=34995, PPID=34974
Child process 22: PID=34996, PPID=34974
Child process 23: PID=34997, PPID=34974
Child process 24: PID=34998, PPID=34974
Child process 25: PID=34999, PPID=34974
Child process 26: PID=35000, PPID=34974
Child process 27: PID=35001, PPID=34974
Child process 28: PID=35002, PPID=34974
Child process 29: PID=35003, PPID=34974
Child process 30: PID=35004, PPID=34974
Child process 31: PID=35005, PPID=34974
Child process 32: PID=35006, PPID=34974
Child process 33: PID=35007, PPID=34974
Child process 34: PID=35008, PPID=34974
Child process 35: PID=35009, PPID=34974
Child process 36: PID=35010, PPID=34974
Child process 37: PID=35011, PPID=34974
Child process 38: PID=35012, PPID=34974
Child process 39: PID=35013, PPID=34974
Child process 40: PID=35014, PPID=34974
Child process 41: PID=35015, PPID=34974
Child process 42: PID=35016, PPID=34974
Child process 43: PID=35017, PPID=34974
Child process 44: PID=35018, PPID=34974
Child process 45: PID=35019, PPID=34974
Child process 46: PID=35020, PPID=34974
Child process 47: PID=35021, PPID=34974
Child process 48: PID=35022, PPID=34974
Child process 49: PID=35023, PPID=34974
Child process 50: PID=35024, PPID=34974
Child process 51: PID=35025, PPID=34974
Child process 52: PID=35026, PPID=34974
Child process 53: PID=35027, PPID=34974
Child process 54: PID=35028, PPID=34974
Child process 55: PID=35029, PPID=34974
Child process 56: PID=35030, PPID=34974
Child process 57: PID=35031, PPID=34974
Child process 58: PID=35032, PPID=34974
Child process 59: PID=35033, PPID=34974
Child process 60: PID=35034, PPID=34974
Child process 61: PID=35035, PPID=34974
Child process 62: PID=35036, PPID=34974
Child process 63: PID=35037, PPID=34974
Child process 64: PID=35038, PPID=34974
Child process 65: PID=35039, PPID=34974
Child process 66: PID=35040, PPID=34974
Child process 67: PID=35041, PPID=34974
Child process 68: PID=35042, PPID=34974
Child process 69: PID=35043, PPID=34974
Child process 70: PID=35044, PPID=34974
Child process 71: PID=35045, PPID=34974
Child process 72: PID=35046, PPID=34974
Child process 73: PID=35047, PPID=34974
Child process 74: PID=35048, PPID=34974
Child process 75: PID=35049, PPID=34974
Child process 76: PID=35050, PPID=34974
Child process 77: PID=35051, PPID=34974
Child process 78: PID=35052, PPID=34974
Child process 79: PID=35053, PPID=34974
Child process 80: PID=35054, PPID=34974
Child process 81: PID=35055, PPID=34974
Child process 82: PID=35056, PPID=34974
Child process 83: PID=35057, PPID=34974
Child process 84: PID=35058, PPID=34974
Child process 85: PID=35059, PPID=34974
Child process 86: PID=35060, PPID=34974
Child process 87: PID=35061, PPID=34974
Child process 88: PID=35062, PPID=34974
Child process 89: PID=35063, PPID=34974
Child process 90: PID=35064, PPID=34974
Child process 91: PID=35065, PPID=34974
Child process 92: PID=35066, PPID=34974
Child process 93: PID=35067, PPID=34974
Child process 94: PID=35068, PPID=34974
Child process 95: PID=35069, PPID=34974
Child process 96: PID=35070, PPID=34974
Child process 97: PID=35071, PPID=34974
Child process 98: PID=35072, PPID=34974
Child process 99: PID=35073, PPID=34974
Child process 100: PID=35074, PPID=34974


[xeon@xeon-ms7817 ~]$ pstree 34974
cw5_1───100*[cw5_1]
